DATATYPE	 3 Dimensional Data
XYZUNITS	 Nanometer;Nanometer;Emission
DECIMALSYMBOL	 ,
X/Y	250,0	255,0	260,0	265,0	270,0	275,0	280,0	285,0	290,0	295,0	300,0	305,0	310,0	315,0	320,0	325,0	330,0	335,0	340,0	345,0	350,0	355,0	360,0	365,0	370,0	375,0	380,0	385,0	390,0	395,0	400,0	405,0	410,0	415,0	420,0	425,0	430,0	435,0	440,0	445,0	450,0	455,0	460,0	465,0	470,0	475,0	480,0	485,0	490,0	495,0	500,0
250,0	740,667	532,499	15,097	0,651	0,499	0,376	0,237	0,211	0,193	0,184	0,117	0,111	0,038	0,003	0,085	0,126	0,063	0,089	-0,010	-0,030	-0,027	0,055	0,017	0,039	0,010	-0,088	0,030	-0,005	-0,170	-0,053	0,020	0,059	-0,112	-0,083	0,082	0,030	0,028	-0,019	-0,015	0,023	0,036	0,090	0,500	0,939	0,832	0,392	0,330	0,538	3,797	17,922	32,200
251,0	701,871	596,786	24,533	0,718	0,476	0,559	0,394	0,200	0,130	0,176	0,112	0,103	0,131	0,046	-0,003	0,021	0,084	0,021	0,020	-0,010	-0,047	0,072	0,020	0,002	-0,050	0,072	-0,022	-0,018	-0,079	-0,039	0,048	-0,020	-0,112	-0,069	0,030	0,020	0,002	0,054	-0,014	0,018	0,015	0,077	0,537	0,971	0,871	0,449	0,322	0,580	3,223	15,416	31,431
252,0	559,005	769,051	60,882	0,748	0,605	0,278	0,405	0,194	0,299	0,180	0,174	0,095	0,085	0,031	0,104	0,009	0,022	0,016	-0,006	0,011	-0,055	0,012	-0,006	-0,002	-0,011	-0,046	0,034	-0,008	-0,018	-0,020	-0,021	-0,024	-0,172	-0,007	-0,001	-0,032	-0,011	0,020	0,075	-0,062	-0,017	0,061	0,235	0,919	1,030	0,521	0,243	0,498	1,212	9,411	27,752
253,0	415,938	886,379	121,165	0,941	0,506	0,318	0,416	0,269	0,194	0,153	0,131	0,161	0,059	0,057	0,060	0,050	0,011	-0,049	0,028	0,029	-0,003	0,085	0,082	0,001	-0,002	0,000	0,005	-0,005	-0,057	-0,099	-0,067	0,003	-0,140	0,064	-0,012	0,005	-0,004	0,097	0,048	-0,007	0,049	0,037	0,121	0,673	1,112	0,906	0,293	0,398	0,667	5,177	22,199
254,0	260,963	952,814	248,202	1,878	0,646	0,459	0,196	0,216	0,217	0,173	0,101	0,082	0,078	0,098	0,038	0,032	-0,014	0,045	0,028	0,006	-0,008	0,018	0,042	0,005	-0,016	-0,011	-0,060	-0,078	-0,088	-0,032	-0,035	0,027	-0,133	-0,009	0,017	0,010	-0,050	0,003	0,089	0,071	0,008	0,057	0,100	0,500	0,977	1,309	0,436	0,311	0,542	2,166	14,642
255,0	149,530	920,818	409,417	6,329	0,432	0,418	0,280	0,349	0,250	0,217	0,146	0,065	0,061	0,066	0,012	0,054	0,039	0,039	-0,022	-0,028	0,002	0,064	0,002	0,037	-0,046	-0,051	0,022	-0,002	-0,108	0,065	0,025	-0,081	-0,109	0,019	-0,025	0,026	0,038	0,036	-0,057	0,034	0,000	-0,011	0,023	0,205	0,873	1,484	0,637	0,278	0,422	0,999	8,449
256,0	82,139	815,583	591,134	18,056	0,663	0,390	0,393	0,315	0,197	0,141	0,126	0,067	0,143	0,049	0,120	0,038	0,010	-0,004	0,004	0,021	-0,020	-0,009	0,084	0,045	-0,001	-0,049	0,004	0,064	-0,044	-0,023	-0,014	0,033	-0,205	0,014	-0,019	-0,045	0,050	0,047	-0,012	-0,007	-0,004	-0,003	-0,001	0,188	0,658	1,558	1,047	0,393	0,362	0,653	4,277
257,0	40,724	661,667	771,956	48,607	0,703	0,439	0,378	0,269	0,145	0,210	0,150	0,033	0,074	0,134	0,038	0,029	0,067	0,052	0,043	-0,056	-0,026	0,073	0,102	0,030	-0,013	0,052	-0,061	0,097	0,048	-0,073	-0,049	0,012	-0,127	-0,062	0,028	-0,053	-0,051	-0,013	0,049	-0,019	0,041	0,005	-0,043	0,051	0,461	1,548	1,234	0,557	0,312	0,591	1,654
258,0	21,180	483,119	924,345	113,797	0,951	0,499	0,357	0,286	0,281	0,179	0,146	0,120	0,086	0,104	0,109	0,020	-0,019	0,003	0,035	0,025	-0,067	0,031	-0,018	0,028	0,006	-0,054	-0,005	-0,067	-0,070	-0,071	-0,024	-0,047	-0,140	0,047	-0,008	0,003	0,033	-0,017	0,002	0,035	0,004	0,095	-0,010	0,089	0,252	1,282	1,608	0,846	0,260	0,523	0,854
259,0	13,727	320,055	1008,290	217,902	1,243	0,410	0,432	0,419	0,241	0,120	0,081	0,130	0,040	0,056	0,044	0,083	0,021	0,007	-0,003	0,017	-0,054	0,013	0,024	-0,042	-0,035	-0,022	-0,015	-0,054	-0,022	-0,007	-0,048	-0,027	-0,095	0,004	-0,012	-0,003	-0,030	0,016	0,043	0,087	0,065	0,104	-0,046	0,004	0,113	1,041	1,641	1,219	0,372	0,374	0,616
260,0	11,354	189,196	987,251	374,020	3,463	0,618	0,390	0,260	0,182	0,208	0,125	0,067	0,079	0,105	-0,001	-0,031	0,008	-0,037	-0,016	-0,008	0,022	0,123	0,050	0,045	-0,011	-0,055	0,005	-0,029	-0,044	0,027	-0,031	-0,043	-0,195	-0,036	-0,036	-0,053	-0,003	-0,002	0,008	-0,012	-0,011	-0,005	0,019	0,088	0,064	0,751	1,636	1,564	0,592	0,362	0,668
